S. No,Difficulty,Question Content (in Markdown),Question_short_text,Sub_Topics,Code_language,Solution Code,Front_Code_language,Prefilled Code For Each Code Language,Test_case_input,Test_case_output,Test_case_type,Code_language,Backend Code,is_valid
1,MEDIUM,"### Nearby Difference

Given an array of integers `A`, and an integer `K`, determine how many elements in the array can be classified as `Close`.

An element `X` is `Close` if there is at least one element in the array such that the absolute difference between that element and `X` is less than `K`.

---

#### Input Format
- The first line contains two integers `N` and `K` respectively.
- The second line contains `N` integers separated by space.

---

#### Output Format
- Print a single integer denoting the total number of `Close` elements.

---

#### Constraints
- 1 <= `N` <= 1000
- 0 <= `K` <= 1000
- 0 <= `A[i]` <= 1000

---

#### Sample Input 1
```
5 3
1 4 7 10 13
```
#### Sample Output 1
```
3
```
#### Explanation
In the first example, the numbers 4, 7, and 10 have at least one other element within a distance of 3.

---

#### Sample Input 2
```
4 5
10 15 25 30
```
#### Sample Output 2
```
2
```
#### Explanation
In the second example, the numbers 10 and 15 have another element within a distance of 5.",Nearby Difference,DATA_TYPE_LIST,PYTHON,"n, k = map(int, input().split())
A = list(map(int, input().split()))
count = 0
for i in range(n):
    close = any(abs(A[i] - A[j]) < k for j in range(n) if i != j)
    if close:
        count += 1
print(count)
",PYTHON,"#Write your code here
",,,,,,true
,,,,,,,JAVA,"import java.util.Scanner;
 
class Main {
    public static void main(String[] args) {
        //Write your code below
    }
}","5 3
1 4 7 10 13",3,NORMAL_CASE,,,
,,,,,,,CPP,"#include <bits/stdc++.h>

using namespace std;

int main()
{
     //Write your code here
     return 0;
}","4 5
10 15 25 30",2,NORMAL_CASE,,,
,,,,,,,C,"#include <stdio.h>

int main()
{
     //Write your code here
     return 0;
}","3 1
0 1 2",2,NORMAL_CASE,,,
,,,,,,,,,"6 2
5 3 8 6 1 9",6,NORMAL_CASE,,,
,,,,,,,,,"5 7
5 15 25 30 18",3,NORMAL_CASE,,,
,,,,,,,,,"7 10
7 6 5 5 7 6 5",7,NORMAL_CASE,,,
,,,,,,,,,"2 0
5 5",0,EDGE_CASE,,,
,,,,,,,,,"10 4
1 2 3 4 5 6 7 8 9 10",10,NORMAL_CASE,,,
,,,,,,,,,"9 3
2 5 8 4 1 7 2 3 12",9,NORMAL_CASE,,,
,,,,,,,,,"8 20
10 30 50 70 90 110 130 150",0,NORMAL_CASE,,,
,,,,,,,,,,,,,,
2,MEDIUM,"### Positive Proximity

Given an array of integers `P` and a positive integer `R`, count how many elements in the array are `Proximal`.

An element `V` is `Proximal` if there exists at least one other element in the array such that the difference between that element and `V` is strictly less than `R`.

---

#### Input Format
- The first line contains two integers `Q` and `R` respectively.
- The second line contains `Q` integers separated by space.

---

#### Output Format
- Print a single integer denoting the number of `Proximal` elements.

---

#### Constraints
- 1 <= `Q` <= 1000
- 1 <= `R` <= 1000
- 0 <= `P[i]` <= 1000

---

#### Sample Input 1
```
6 2
3 8 14 18 22 25
```
#### Sample Output 1
```
3
```
#### Explanation
In the first example, the numbers 8, 18, and 22 have at least one other element within a distance of 2.

---

#### Sample Input 2
```
5 5
1 6 11 16 21
```
#### Sample Output 2
```
4
```
#### Explanation
In the second example, the numbers 6, 11, 16, and 21 have another element within a distance of 5.",Positive Proximity,DATA_TYPE_LIST,PYTHON,"Q, R = map(int, input().split())
P = list(map(int, input().split()))

count = 0
for i in range(Q):
    for j in range(Q):
        if i != j and abs(P[i] - P[j]) < R:
            count += 1
            break

print(count)
",PYTHON,"# Write your code here
",,,,,,true
,,,,,,,JAVA,"import java.util.Scanner;

class Main {
    public static void main(String[] args) {
        // Write your code below
    }
}","6 2
3 8 14 18 22 25",3,NORMAL_CASE,,,
,,,,,,,CPP,"#include <bits/stdc++.h>

using namespace std;

int main()
{
     // Write your code here
     return 0;
}","5 5
1 6 11 16 21",4,NORMAL_CASE,,,
,,,,,,,C,"#include <stdio.h>

int main()
{
     // Write your code here
     return 0;
}","3 1
10 11 13",2,NORMAL_CASE,,,
,,,,,,,,,"4 3
2 5 8 11",3,NORMAL_CASE,,,
,,,,,,,,,"6 4
6 7 12 13 16 20",4,NORMAL_CASE,,,
,,,,,,,,,"7 10
1 11 21 31 41 51 61",6,NORMAL_CASE,,,
,,,,,,,,,"8 15
2 17 32 47 62 77 92 107",7,NORMAL_CASE,,,
,,,,,,,,,"9 50
50 100 150 200 250 300 350 400 450",0,NORMAL_CASE,,,
,,,,,,,,,"5 8
8 16 24 32 40",4,NORMAL_CASE,,,
,,,,,,,,,"4 7
3 10 17 24",3,NORMAL_CASE,,,
,,,,,,,,,,,,,,
