S. No,Difficulty,Question Content (in Markdown),Question_short_text,Sub_Topics,Code_language,Solution Code,Front_Code_language,Prefilled Code For Each Code Language,Test_case_input,Test_case_output,Test_case_type,Code_language,Backend Code,is_valid
1,EASY,"### Immediate Next Greater
Implement the function `immediate_next_greater` which will take a list of integers `numbers` along with its size `size` as arguments and returns an updated list, such that each number of the updated list will be the Immediate Next Greater (ING) for that number.

*Immediate Next Greater of `numbers[i]` will be the first `numbers[j]` such that:*

- *`numbers[i]` < `numbers[j]` and j > i*

*If there is no Immediate Next Greater for numbers[i], consider it as -1.*

*Note: You need not write code to handle input and output.*

---

#### Input Format

- First line consists of an integer `size`, representing the number of integers in `numbers`.
- Second line contains `size` space-separated integers representing the numbers in `numbers`.

---

#### Output Format

- Print `size` space-separated integers representing the immediate next greater number for each of the numbers in `numbers`.

---

#### Example
###### Input:
    6
    1 3 2 4 5 3
    
###### Output:
    3 4 4 5 -1 -1
    
###### Explanation
For the given array,

- The immediate next greater number for 1 is 3.
- The immediate next greater number for 3 is 4.
- The immediate next greater number for 2 is 4.
- The immediate next greater number for 4 is 5.
- There is no larger number for 5 and 3 on the right side. So we consider ING as -1.

---

#### Constraints

- 1 <=`size`<= 1000
- 0 <=`numbers[i]`<= 1000

---",Immediate Next Greater,DATA_TYPE_LIST,PYTHON,"def immediate_next_greater(size: int, numbers: list) -> list:
    result = [-1] * size
    for i in range(size):
        for j in range(i + 1, size):
            if numbers[i] < numbers[j]:
                result[i] = numbers[j]
                break
    return result
",PYTHON,"def immediate_next_greater(size: int, numbers: list) -> list:
    pass  # Replace pass with your code
",,,,PYTHON,"def main():
    size = int(input())
    numbers = list(map(int, input().strip().split()))
    result = immediate_next_greater(size, numbers)
    print(' '.join(map(str, result)))

if __name__ == ""__main__"":
    main()
",true
,,,,,JAVA,"import java.util.*;

public class Solution {
    public int[] immediate_next_greater(int size, int[] numbers) {
        int[] result = new int[size];
        for (int i = 0; i < size; i++) {
            int next_greater = -1;
            for (int j = i + 1; j < size; j++) {
                if (numbers[i] < numbers[j]) {
                    next_greater = numbers[j];
                    break;
                }
            }
            result[i] = next_greater;
        }
        return result;
    }
}
",JAVA,"public class Solution {
    public int[] immediate_next_greater(int size, int[] numbers) {
        
    }
}
","6
1 3 2 4 5 3",3 4 4 5 -1 -1,NORMAL_CASE,JAVA,"import java.util.*;

public class Main {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        int size = scanner.nextInt();
        int[] numbers = new int[size];
        for (int i = 0; i < size; i++) {
            numbers[i] = scanner.nextInt();
        }
        Solution solution = new Solution();
        int[] result = solution.immediate_next_greater(size, numbers);
        for (int i = 0; i < size; i++) {
            System.out.print(result[i] + "" "");
        }
        System.out.println();
        scanner.close();
    }
}
",
,,,,,CPP,"#include <vector>
using namespace std;

vector<int> immediate_next_greater(int size, vector<int> numbers) {
    vector<int> result(size, -1);
    for (int i = 0; i < size; i++) {
        for (int j = i + 1; j < size; j++) {
            if (numbers[i] < numbers[j]) {
                result[i] = numbers[j];
                break;
            }
        }
    }
    return result;
}
",CPP,"#include <vector>
using namespace std;

vector<int> immediate_next_greater(int size, vector<int> numbers) {
    
}
","4
4 5 2 10",5 10 10 -1,NORMAL_CASE,CPP,"#include <iostream>
#include <vector>
#include ""solution.h""
using namespace std;

int main() {
    int size;
    cin >> size;
    vector<int> numbers(size);
    for (int i = 0; i < size; i++) {
        cin >> numbers[i];
    }
    vector<int> result = immediate_next_greater(size, numbers);
    for (int i = 0; i < size; i++) {
        cout << result[i] << "" "";
    }
    cout << endl;
    return 0;
}
",
,,,,,C,"#include <stdio.h>

void immediate_next_greater(int size, int numbers[], int result[]) {
    for (int i = 0; i < size; i++) {
        int next_greater = -1;
        for (int j = i + 1; j < size; j++) {
            if (numbers[i] < numbers[j]) {
                next_greater = numbers[j];
                break;
            }
        }
        result[i] = next_greater;
    }
}
",C,"#include <stdio.h>

void immediate_next_greater(int size, int numbers[], int result[]) {
    
}
","1
0",-1,EDGE_CASE,C,"#include <stdio.h>

#ifndef FILE1_H
#define FILE1_H
void immediate_next_greater(int, int[], int[]);
#endif

int main() {
    int size;
    scanf(""%d"", &size);
    int numbers[size];
    for (int i = 0; i < size; i++) {
        scanf(""%d"", &numbers[i]);
    }
    int result[size];
    immediate_next_greater(size, numbers, result);
    for (int i = 0; i < size; i++) {
        printf(""%d "", result[i]);
    }
    printf(""\n"");
    return 0;
}
",
,,,,,,,,,"2
8 10",10 -1,NORMAL_CASE,,,
,,,,,,,,,"5
6 4 3 2 1",-1 -1 -1 -1 -1,EDGE_CASE,,,
,,,,,,,,,"7
10 9 8 7 6 5 15",15 15 15 15 15 15 -1,NORMAL_CASE,,,
,,,,,,,,,"10
1 2 3 4 5 6 7 8 9 10",2 3 4 5 6 7 8 9 10 -1,NORMAL_CASE,,,
,,,,,,,,,"3
1000 500 200",-1 -1 -1,EDGE_CASE,,,
,,,,,,,,,"5
1 1 1 1 2",2 2 2 2 -1,NORMAL_CASE,,,
,,,,,,,,,"8
1000 999 998 997 996 995 994 1001",1001 1001 1001 1001 1001 1001 1001 -1,NORMAL_CASE,,,
